Print_Date,Emancipation_Date_Start,Site,Emancipation_Date_End,Breed,Species_,SpayNeutered,Stage_,Photo,Location_,Sort_By,Intake_Date_From,Review_Date_From,Intake_Date_To,Review_Date_To,Pre_Altered,Show_Photo,Video
"Thursday, October 16, 2025",All,All,All,All,All,All,All,All,All,SubLocation - Alphabetical,All,All,All,All,Y,No,All

Location_1,AVG_LOS,Distinct_Animals,AnimalNumber,AnimalName,AnimalType,PrimaryBreed,Age,Color,Declawed,PreAltered,IntakeType,Sex,Stage,Location,ARN,ChipNumber,Species,SecondaryBreed,DateOfBirth,ColorPattern,EmancipationDate,SpayedNeutered,IntakeDateTime,LOSInDays,StageChangeReason,SubLocation,AnimalWeight,Danger,DangerType,NumberOfPictures,Videos,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,Total_Animals
  Adoptions Lobby,Avg. LOS: 200,2,A0058213036,Cinnamon,Other,Satin,6m 17d,Buff/Grey,N,N,Owner/Guardian Surrender/Born in Care,F,Available,Adoptions Lobby,,941010004717807,Rabbit,Mix,3/29/2025 12:00:00 AM,,,Y,3/30/2025 10:17 AM,200.10,,Rabbitat 1,4.00 pound,No,,3,No,,,,,457
  Adoptions Lobby,Avg. LOS: 200,2,A0058212979,Glacier,Other,Florida White,6m 17d,White/,N,N,Owner/Guardian Surrender/Born in Care,F,Available,Adoptions Lobby,,941010004776209,Rabbit,Satin,3/29/2025 12:00:00 AM,,,Y,3/30/2025 10:06 AM,200.10,,Rabbitat 2,4.40 pound,No,,3,No,,,,,457
  Boarding Facility,Avg. LOS: 7,6,A0059536789,Layla,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",9m 13d,Tan/,N,N,Clinic/Outreach,F,Clinic Animal,Boarding Facility,,,Dog,Mix,1/3/2025 12:00:00 AM,,,N,10/9/2025 9:55 PM,6.60,,Offsite Boarding ,39.00 pound,No,,0,No,,,,,457
  Boarding Facility,Avg. LOS: 7,6,A0059577124,Mylee Berrios,Dog,"Terrier, Pit Bull",3y 7d,Rust/,,N,Clinic/Outreach,F,Clinic Animal,Boarding Facility,,,Dog,Mix,10/9/2022 12:00:00 AM,,,N,10/9/2025 9:42 PM,6.60,,Offsite Boarding ,49.00 pound,No,,0,No,,,,,457
  Boarding Facility,Avg. LOS: 7,6,A0059577126,Puppy 1 Berrios,Dog,"Terrier, Pit Bull",1m 5d,Buff/,,N,Clinic/Outreach,F,Clinic Animal,Boarding Facility,,,Dog,Siberian Husky,9/11/2025 12:00:00 AM,,,N,10/9/2025 9:42 PM,6.60,,Offsite Boarding ,5.00 pound,No,,0,No,,,,,457
  Boarding Facility,Avg. LOS: 7,6,A0059577127,Puppy 2 Berrios,Dog,"Terrier, Pit Bull",1m 5d,Silver/Black,,N,Clinic/Outreach,M,Clinic Animal,Boarding Facility,,,Dog,Mix,9/11/2025 12:00:00 AM,,,N,10/9/2025 9:42 PM,6.60,,Offsite Boarding ,4.00 pound,No,,0,No,,,,,457
  Boarding Facility,Avg. LOS: 7,6,A0059577129,Puppy 3 Berrios,Dog,"Terrier, Pit Bull",1m 5d,Silver/Black,,N,Clinic/Outreach,M,Clinic Animal,Boarding Facility,,,Dog,Mix,9/11/2025 12:00:00 AM,,,N,10/9/2025 9:42 PM,6.60,,Offsite Boarding ,3.60 pound,No,,0,No,,,,,457
  Boarding Facility,Avg. LOS: 7,6,A0059577130,Puppy 4 Berrios,Dog,"Terrier, Pit Bull",1m 5d,Sandy/,,N,Clinic/Outreach,M,Clinic Animal,Boarding Facility,,,Dog,Mix,9/11/2025 12:00:00 AM,,,N,10/9/2025 9:42 PM,6.60,,Offsite Boarding ,4.80 pound,No,,0,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059373813,Aster,Cat,Domestic Shorthair,9y 29d,White/,N,Y,Seized/Abandoned,F,Available,Cat Adoption Condo Rooms,,941010004739297,Cat,,9/17/2016 12:00:00 AM,,,Y,9/16/2025 4:59 PM,29.80,,Condo A,6.75 pound,No,,2,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059373815,Abalon,Cat,Domestic Shorthair,9y 29d,White/,N,Y,Seized/Abandoned,F,Available - ITFF Medical,Cat Adoption Condo Rooms,ABALON,941010004953672,Cat,,9/17/2016 12:00:00 AM,,,Y,9/16/2025 4:59 PM,29.80,,Condo A,8.00 pound,No,,3,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059465582,Cadence,Cat,Domestic Longhair,2y 15d,Brown/Orange,N,N,Seized/Signed Over,F,Available,Cat Adoption Condo Rooms,,941010004770915,Cat,,10/1/2023 12:00:00 AM,Calico/,,Y,10/1/2025 11:37 AM,15.00,,Condo B,5.50 pound,No,,2,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059466999,Frankie,Cat,Domestic Shorthair,6y 15d,Brown/White,N,Y,Seized/Signed Over,M,Hold - Doc,Cat Adoption Condo Rooms,Oreo,941010004742246,Cat,,10/1/2019 12:00:00 AM,Tabby/,,Y,10/1/2025 12:44 PM,15.00,waiting on biopsy,Condo B,11.75 pound,No,,2,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059232182,Solo,Cat,Domestic Shorthair,3y 1m 21d,Black/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Available,Cat Adoption Condo Rooms,,941010004526538,Cat,,8/25/2022 12:00:00 AM,,,Y,9/2/2025 12:52 PM,44.00,,Condo C,8.90 pound,No,,3,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059232190,Leia,Cat,Domestic Shorthair,3y 1m 21d,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Hold - Bite/Scratch,Cat Adoption Condo Rooms,,941010004620340,Cat,,8/25/2022 12:00:00 AM,,,Y,9/2/2025 12:52 PM,44.00,10 DAY CHECK,Condo C,9.70 pound,No,,3,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059360624,Florenzo,Cat,Domestic Longhair,4y 1m 1d,Blue/,N,Y,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Available - ITFF Medical,Cat Adoption Condo Rooms,,941010004493596,Cat,,9/15/2021 12:00:00 AM,,,Y,9/18/2025 10:34 AM,28.10,,Condo C,15.60 pound,No,,3,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059466019,Athena,Cat,Domestic Shorthair,7y 15d,Brown/,N,Y,Seized/Signed Over,F,Available,Cat Adoption Condo Rooms,,982126056776434,Cat,,10/1/2018 12:00:00 AM,Tabby/,,Y,10/1/2025 2:59 PM,14.90,,Condo D,10.00 pound,No,,3,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059466027,Zeus,Cat,Domestic Shorthair,7y 15d,Brown/,N,Y,Seized/Signed Over,M,Available,Cat Adoption Condo Rooms,,982126054843880,Cat,,10/1/2018 12:00:00 AM,Tabby/,,Y,10/1/2025 2:59 PM,14.90,,Condo D,15.75 pound,No,,2,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059466033,Ursula,Cat,Domestic Shorthair,7y 6m 14d,Brown/,N,Y,Seized/Signed Over,F,Available,Cat Adoption Condo Rooms,,981020023106313,Cat,,4/2/2018 12:00:00 AM,Tabby/,,Y,10/1/2025 2:59 PM,14.90,,Condo D,11.75 pound,No,,3,No,,,,,457
