textbox3,textbox5,textbox9,textbox7,textbox14,textbox19,textbox12,textbox32,textbox64,textbox48,textbox10,textbox55
"Thursday, October 16, 2025",All,All,All,All,All,All,All,All,All,True,All

textbox109,AnimalNumber_1,AnimalName,AnimalType,Species,textbox29,Gender,PrimaryColour,Declawed,OperationType,Stage,Location,ARN,PrimaryBreed,AdoptionPrice,textbox54,SecondaryColour,OperationDateCreated,ChipNumber,SubLocation,textbox60,textbox67,AnimalMemoType,AnimalMemoSubType,DateCreated_1,textbox50,AnimalMemo_1,textbox121,textbox124,textbox127,textbox130,textbox23,textbox42
Adoptions Lobby,A0058212979,Glacier,Other,Rabbit,6m 17d,F,White,N,Owner Surrender/Born in Care,Available,Adoptions Lobby,,Florida White/Satin,$60.00,200,,3/30/2025 10:06 AM,941010004776209,Rabbitat 2,41713841,LINDSEYS,Note                          ,,3/30/2025 10:16 AM,,"Rabbits born overnight 3/29-3/30 2025 to Mother A58071379 ""Cherry Blossom""",Adoptions Lobby,9,Adoptions Lobby,2,1227,357
Adoptions Lobby,A0058212979,Glacier,Other,Rabbit,6m 17d,F,White,N,Owner Surrender/Born in Care,Available,Adoptions Lobby,,Florida White/Satin,$60.00,200,,3/30/2025 10:06 AM,941010004776209,Rabbitat 2,42269906,MAKENZIEO,Alert Memo!!!                 ,Alert Memo!!!                 ,6/19/2025 2:45 PM,,"Has a ""A"" in left ear",Adoptions Lobby,9,Adoptions Lobby,2,1227,357
Adoptions Lobby,A0058212979,Glacier,Other,Rabbit,6m 17d,F,White,N,Owner Surrender/Born in Care,Available,Adoptions Lobby,,Florida White/Satin,$60.00,200,,3/30/2025 10:06 AM,941010004776209,Rabbitat 2,42677627,MAKENZIEO,foster                        ,,8/14/2025 4:33 PM,,"Email from FP P38703885 8/14 ""Just for future knowledge whoever does take them I had to move them into an actual big puppy pen for space because they are becoming a little fighty towards each other in a smaller area and destructive. They have to be watched often and consume litter boxes, any toys, towels, rugs and any blankets are suggested to be kept away from them not even advise to let them hop on rugs to free roam as they instantly dig and start ripping it up. We only have their rabbit wood toys and all metal bowls and litter pans now for them on a concrete floor in the basement as they ate through the wooden rabbit hut i bought.  They do love to be outside but the heat makes that challenging but it seems to help relieve some evergy and create fun for them."" ""I have triplet daughters so I kind of get the feeling that just the three of them together are maybe antagonizing one another to be destructive.  I've had two females together in the past in one kind of created chaos so the other just followed the behaviors they were doing but as soon as I separated them out they were better off and I saw their true natures of each of them however I don't have the ability to separate out the three of them.  I have noticed out of the three there is one with a little bit more of a tude issue and then we do have one of them that just prefers to sit on the couch and watch movies with the everyone at night.""",Adoptions Lobby,9,Adoptions Lobby,2,1227,357
Adoptions Lobby,A0058212979,Glacier,Other,Rabbit,6m 17d,F,White,N,Owner Surrender/Born in Care,Available,Adoptions Lobby,,Florida White/Satin,$60.00,200,,3/30/2025 10:06 AM,941010004776209,Rabbitat 2,43260803,KRYSTANP,On Meds!!                     ,On Meds!                      ,10/10/2025 4:47 PM,,On meds through 10/15,Adoptions Lobby,9,Adoptions Lobby,2,1227,357
Adoptions Lobby,A0058212979,Glacier,Other,Rabbit,6m 17d,F,White,N,Owner Surrender/Born in Care,Available,Adoptions Lobby,,Florida White/Satin,$60.00,200,,3/30/2025 10:06 AM,941010004776209,Rabbitat 2,42085050,JACKIEA,Daily Monitor                 ,Poop Chart!                   ,5/24/2025 12:02 PM,,"5/23 - A, N, Y 5/24 - A, N, Y 5/25- A, N, Y 5/26 - A, N, Y 5/27 - A, N, Y 5/28 - A, N, Y 5/29 - A, N, Y 5/31- A, N, Y 6/1/25- A, N, Y 6/2 - A ,N ,Y 6/3 - A,N ,Y 6/4 - A, N, Y 8/29 -A ,N ,Y 9/19 -AS,N ,Y 9/20 - A, N, Y 9/21 - ALL GREENS/AS PELLETS, N, NO - SMALL AMOUNT OF STOOL, NO URINE SEEN 9/22 - A, N, Y 9/24 - A, N, Y 9/25- A, N, Y 9/26 - A, N, Y 9/27- A, N, Y 9/28- A, N, Y 9/29- A, N, Y 9/30 - A, N, Y 10/1 - A, N, Y 10/2 - A, N, Y 10/3 - A, N, Y 10/4 - A, N, Y 10/5 - A, N, Y 10/6 - A, N, Y 10/7 - A, N, Y 10/8 - A, N, Y 10/9 - A, N, Y 10/10 - AS, N, Y 10/11 - AVL, NO, NO 10/12 - AM salad, N(small amount), Y 10/13 -A, N ,Y 10/14 - A, N ,Y 10/15 - A, N ,Y",Adoptions Lobby,9,Adoptions Lobby,2,1227,357
Adoptions Lobby,A0058212979,Glacier,Other,Rabbit,6m 17d,F,White,N,Owner Surrender/Born in Care,Available,Adoptions Lobby,,Florida White/Satin,$60.00,200,,3/30/2025 10:06 AM,941010004776209,Rabbitat 2,42677625,MAKENZIEO,Alert Memo!!!                 ,"Archived, no longer an alert. ",8/14/2025 4:33 PM,,"When looking for future foster, either separate or make sure they have large enough space as they have begun fighting See memo from 8/14",Adoptions Lobby,9,Adoptions Lobby,2,1227,357
Adoptions Lobby,A0058213036,Cinnamon,Other,Rabbit,6m 17d,F,Buff,N,Owner Surrender/Born in Care,Available,Adoptions Lobby,,Satin/Mix,$60.00,200,Grey,3/30/2025 10:17 AM,941010004717807,Rabbitat 1,41713930,LINDSEYS,Note                          ,,3/30/2025 10:31 AM,,"Rabbits were born at SPCA overnight between 3/29-3/30 2025 to A58054537 ""Honeysuckle"" LMW/81",Adoptions Lobby,9,Adoptions Lobby,2,1227,357
Adoptions Lobby,A0058213036,Cinnamon,Other,Rabbit,6m 17d,F,Buff,N,Owner Surrender/Born in Care,Available,Adoptions Lobby,,Satin/Mix,$60.00,200,Grey,3/30/2025 10:17 AM,941010004717807,Rabbitat 1,43252004,JENT,On Meds!!                     ,On Meds!                      ,10/9/2025 3:47 PM,,On meds up until and including 10/14. JT,Adoptions Lobby,9,Adoptions Lobby,2,1227,357
Adoptions Lobby,A0058213036,Cinnamon,Other,Rabbit,6m 17d,F,Buff,N,Owner Surrender/Born in Care,Available,Adoptions Lobby,,Satin/Mix,$60.00,200,Grey,3/30/2025 10:17 AM,941010004717807,Rabbitat 1,43269557,JACKIEA,Daily Monitor                 ,Poop Chart!                   ,10/12/2025 12:35 PM,,"10/8 - A, N, Y 10/9 - A, N, Y 10/10 - AS, N, Y 10/11 - AS, N, Y 10/12 - AM, N, Y 10/13 -A, N ,Y 10/14 - A, N ,Y 10/15 - A, N ,Y",Adoptions Lobby,9,Adoptions Lobby,2,1227,357
Cat Adoption Condo Rooms,A0058212985,Snowball,Other,Rabbit,6m 17d,M,White,N,Owner Surrender/Born in Care,Available,Cat Adoption Condo Rooms,Bunny 5,Florida White/Satin,$60.00,200,,3/30/2025 10:06 AM,941010004744833,Rabbitat 1,41713844,LINDSEYS,Note                          ,,3/30/2025 10:16 AM,,"Rabbits born overnight 3/29-3/30 2025 to Mother A58071379 ""Cherry Blossom""",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
